Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AALI.JK,AALI.JK,AALI.JK,AALI.JK,AALI.JK,AALI.JK
Date,,,,,,
2001-04-05,245.68878173828125,547.8893432617188,571.7106323242188,547.8893432617188,571.7106323242188,57721
2001-04-06,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,83433
2001-04-09,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,10494
2001-04-10,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,352625
2001-04-11,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,59295
2001-04-12,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,178936
2001-04-13,245.68878173828125,547.8893432617188,547.8893432617188,547.8893432617188,547.8893432617188,0
2001-04-16,245.68878173828125,547.8893432617188,547.8893432617188,524.0680541992188,524.0680541992188,342131
2001-04-17,235.00665283203125,524.0680541992188,571.7106323242188,524.0680541992188,547.8893432617188,345804
2001-04-18,235.00665283203125,524.0680541992188,547.8893432617188,524.0680541992188,547.8893432617188,230361
2001-04-19,224.3245391845703,500.2467956542969,524.0680541992188,500.2467956542969,524.0680541992188,457574
2001-04-20,202.9602813720703,452.604248046875,476.4255065917969,452.604248046875,476.4255065917969,228262
2001-04-23,202.9602813720703,452.604248046875,452.604248046875,452.604248046875,452.604248046875,11544
2001-04-24,211.50601196289062,471.6612548828125,476.4255065917969,471.6612548828125,476.4255065917969,3148
2001-04-25,211.50601196289062,471.6612548828125,485.9540100097656,471.6612548828125,476.4255065917969,345804
2001-04-26,211.50601196289062,471.6612548828125,485.9540100097656,471.6612548828125,476.4255065917969,345804
2001-04-27,207.23316955566406,462.13275146484375,466.8970031738281,457.3684997558594,462.13275146484375,372566
2001-04-30,209.36959838867188,466.8970031738281,466.8970031738281,462.13275146484375,466.8970031738281,205173
2001-05-01,213.6424560546875,476.4255065917969,500.2467956542969,471.6612548828125,471.6612548828125,1476096
2001-05-02,202.9602813720703,452.604248046875,500.2467956542969,452.604248046875,500.2467956542969,249776
2001-05-03,209.36959838867188,466.8970031738281,481.18975830078125,466.8970031738281,476.4255065917969,1837642
2001-05-04,220.0516815185547,490.7182922363281,495.4825439453125,466.8970031738281,466.8970031738281,1116124
2001-05-07,220.0516815185547,490.7182922363281,490.7182922363281,490.7182922363281,490.7182922363281,0
2001-05-08,213.6424560546875,476.4255065917969,500.2467956542969,476.4255065917969,500.2467956542969,189956
2001-05-09,213.6424560546875,476.4255065917969,476.4255065917969,476.4255065917969,476.4255065917969,227212
2001-05-10,213.6424560546875,476.4255065917969,476.4255065917969,476.4255065917969,476.4255065917969,102849
2001-05-11,224.3245391845703,500.2467956542969,500.2467956542969,500.2467956542969,500.2467956542969,709449
2001-05-14,224.3245391845703,500.2467956542969,500.2467956542969,500.2467956542969,500.2467956542969,155848
2001-05-15,245.68878173828125,547.8893432617188,547.8893432617188,500.2467956542969,500.2467956542969,1011700
2001-05-16,256.3709716796875,571.7106323242188,690.8170166015625,547.8893432617188,690.8170166015625,4605651
2001-05-17,256.3709716796875,571.7106323242188,595.5318603515625,571.7106323242188,595.5318603515625,905702
2001-05-18,256.3709716796875,571.7106323242188,571.7106323242188,547.8893432617188,547.8893432617188,162144
2001-05-21,245.68878173828125,547.8893432617188,547.8893432617188,524.0680541992188,547.8893432617188,408248
2001-05-22,256.3709716796875,571.7106323242188,595.5318603515625,571.7106323242188,571.7106323242188,511622
